label_a,label_b,relation,direction,evidence,n_confusions,sites,marker_jaccard,display_similarity,units_match,kind_match,proposed_by,status,reviewer,notes
coldDeckDischargeFlowSp,dischargeFlowSp,parent,b_to_a,confusion,2,0,0.714,0.5,True,True,draft_equivalences.py,draft,,
coldDeckDischargeTempMinSp,dischargeTempMinSp,parent,b_to_a,"confusion,display_sim",2,0,0.625,0.833,True,True,draft_equivalences.py,draft,,
condEnteringIsoValve,condLeavingIsoValve,site_variant,both,"confusion,display_sim",2,0,0.75,0.8,True,True,draft_equivalences.py,draft,,
condEnteringTemp,condEnteringTempSp,parent,a_to_b,"confusion,display_sim",2,0,0.571,0.857,True,True,draft_equivalences.py,draft,,
condPressureDeltaSp,secPressureDeltaSp,site_variant,both,"confusion,display_sim",2,0,0.75,0.75,True,True,draft_equivalences.py,draft,,
coolingCoilDischargeTempSp,dischargeTempCoolSp,site_variant,both,"confusion,display_sim",2,0,0.556,0.889,True,True,draft_equivalences.py,draft,,
evapLeavingFlow,priLeavingFlow,site_variant,both,confusion,2,0,0.667,0.667,True,True,draft_equivalences.py,draft,,
evapLeavingTempHiSp,secLeavingTempHiSp,site_variant,both,confusion,2,0,0.714,0.8,True,True,draft_equivalences.py,draft,,
evapLeavingTempSp,twrLeavingTempSp,site_variant,both,confusion,2,0,0.625,0.75,True,True,draft_equivalences.py,draft,,
evapPump,evapPumpEnable,parent,a_to_b,confusion,2,0,0.667,0.667,False,True,draft_equivalences.py,draft,,
heatingEnable,heatingStageEnable,parent,a_to_b,confusion,2,0,0.4,0.667,False,True,draft_equivalences.py,draft,,
heatingEnable,preHeatingEnable,parent,a_to_b,"confusion,display_sim",2,0,0.6,0.857,False,True,draft_equivalences.py,draft,,
heatingStage,heatingStageMod,parent,a_to_b,"confusion,display_sim",2,0,0.5,0.857,False,False,draft_equivalences.py,draft,,
minOutsideFlow,outsideFlowMinSp,parent,a_to_b,confusion,2,0,0.286,0.286,True,True,draft_equivalences.py,draft,,
powerReal,powerRealMax,parent,a_to_b,"confusion,display_sim",2,0,0.5,0.8,True,True,draft_equivalences.py,draft,,
recPump,recPumpSpeed,parent,a_to_b,confusion,2,0,0.667,0.667,False,False,draft_equivalences.py,draft,,
secEnteringTemp,secEnteringTempSp,parent,a_to_b,"confusion,display_sim",2,0,0.571,0.857,True,True,draft_equivalences.py,draft,,
secLeavingTemp,secLeavingTempSp,parent,a_to_b,"confusion,display_sim",2,0,0.5,0.857,True,True,draft_equivalences.py,draft,,
wheel,wheelReturnFan,parent,a_to_b,confusion,2,0,0.429,0.667,False,True,draft_equivalences.py,draft,,
wheel,wheelReturnHumidity,parent,a_to_b,confusion,2,0,0.125,0.4,False,False,draft_equivalences.py,draft,,
zoneCO2Sp,zoneCOSp,parent,b_to_a,confusion,2,0,0.667,0.667,True,True,draft_equivalences.py,draft,,
zoneTempAvgSp,zoneTempSpBAS,site_variant,both,confusion,2,0,,0.75,,,draft_equivalences.py,draft,,
dischargeFlowCoolMaxSp,dischargeFlowSp,parent,b_to_a,probe,1,0,0.5,0.667,True,True,draft_equivalences.py,draft,,
